dataset_name,query,taxonomy_level,scientific_name,common_name,taxonomy_string,kingdom,phylum,subphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,genus,species,subspecies,variety
Caltech Camera Traps,badger,species,taxidea taxus,badger,"[(41789, 'species', 'taxidea taxus', ['american badger']), (41788, 'genus', 'taxidea', []), (846287, 'subfamily', 'taxidiinae', ['american badgers']), (41770, 'family', 'mustelidae', ['mustelids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,mustelidae,taxidiinae,,taxidea,taxidea taxus,,
Caltech Camera Traps,bat,order,chiroptera,bat,"[(40268, 'order', 'chiroptera', ['bats']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,chiroptera,,,,,,,,,,
Caltech Camera Traps,bird,class,aves,bird,"[(3, 'class', 'aves', ['birds']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,aves,,,,,,,,,,,,,,
Caltech Camera Traps,bobcat,species,lynx rufus,bobcat,"[(41976, 'species', 'lynx rufus', ['bobcat']), (41973, 'genus', 'lynx', ['lynxes']), (846179, 'subfamily', 'felinae', ['small cats']), (41944, 'family', 'felidae', ['felids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,lynx,lynx rufus,,
Caltech Camera Traps,car,,,,,,,,,,,,,,,,,,,,,,,
Caltech Camera Traps,cat,species,felis catus,cat,"[(118552, 'species', 'felis catus', ['domestic cat']), (41956, 'genus', 'felis', ['palearctic and african small cats']), (846179, 'subfamily', 'felinae', ['small cats']), (41944, 'family', 'felidae', ['felids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,felidae,felinae,,felis,felis catus,,
Caltech Camera Traps,cow,species,bos taurus,cow,"[(74113, 'species', 'bos taurus', ['domestic cow']), (42396, 'genus', 'bos', ['cattle']), (846321, 'tribe', 'bovini', ['cattle and bison']), (568826, 'subfamily', 'bovinae', ['bovines']), (42241, 'family', 'bovidae', ['bovids']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,bovidae,bovinae,bovini,bos,bos taurus,,
Caltech Camera Traps,coyote,species,canis latrans,coyote,"[(42051, 'species', 'canis latrans', ['coyote']), (42044, 'genus', 'canis', ['wolves and dogs']), (42043, 'family', 'canidae', ['canids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,canis,canis latrans,,
Caltech Camera Traps,deer,genus,odocoileus,deer,"[(42219, 'genus', 'odocoileus', ['white-tailed and mule deer']), (846324, 'tribe', 'odocoileini', ['true new world deer and caribou']), (846185, 'subfamily', 'capreolinae', ['new world deer']), (42158, 'family', 'cervidae', ['deer']), (424850, 'suborder', 'ruminantia', ['ruminants']), (152870, 'order', 'artiodactyla', ['even-toed ungulates and cetaceans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,artiodactyla,ruminantia,,,cervidae,capreolinae,odocoileini,odocoileus,,,
Caltech Camera Traps,dog,species,canis familiaris,domestic dog,"[(47144, 'species', 'canis familiaris', ['domestic dog']), (42044, 'genus', 'canis', ['wolves and dogs']), (42043, 'family', 'canidae', ['canids']), (41573, 'order', 'carnivora', ['carnivorans']), (848324, 'superorder', 'laurasiatheria', ['ungulates, carnivorans, and allies']), (848320, 'infraclass', 'placentalia', ['placental mammals']), (848317, 'subclass', 'theria', ['therians']), (40151, 'class', 'mammalia', ['mammals']), (355675, 'subphylum', 'vertebrata', ['vertebrates']), (2, 'phylum', 'chordata', ['chordates']), (1, 'kingdom', 'animalia', ['animals']), (48460, 'stateofmatter', 'life', [])]",animalia,chordata,vertebrata,,mammalia,theria,placentalia,laurasiatheria,carnivora,,,,canidae,,,canis,canis familiaris,,
