lila_dataset_name,lila_category_name,wi_guid,wi_taxon_name,wi_common,count
Caltech Camera Traps,bobcat,ba76d46e-25de-45e2-90a8-bd279b650f7c,lynx rufus,Bobcat,8098
Caltech Camera Traps,opossum,87be3a5c-e60a-4e7e-88c7-21544914d067,didelphis virginiana,Virginia Opossum,16698
Caltech Camera Traps,empty,f1856211-cfb7-4a5b-9158-c0f72fd09ee6,blank,Blank,125745
Caltech Camera Traps,coyote,aaf3b049-36e6-46dd-9a07-8a580e9618b7,canis latrans,Coyote,16601
Caltech Camera Traps,raccoon,b57debc1-dff2-48d3-a400-f2b5021e71b0,procyon lotor,Northern Raccoon,11390
Caltech Camera Traps,bird,b1352069-a39c-4a84-a949-60044271c0c1,aves,Bird,10003
Caltech Camera Traps,dog,3d80f1d6-b1df-4966-9ff4-94053c7a902a,canis familiaris,Domestic Dog,4512
Caltech Camera Traps,cat,9212982e-8a58-4775-a6ac-e9a43110d8f5,felis catus,Domestic Cat,5297
Caltech Camera Traps,squirrel,88a54afe-71de-4833-b420-86630f9dfd86,sciurus,Sciurus Species,4450
Caltech Camera Traps,rabbit,6c09fa63-2acc-4915-a60b-bd8cee40aedb,leporidae,Rabbit and Hare Family,12519
Caltech Camera Traps,skunk,85f6436b-bcc1-4581-9589-2bb4d48491b7,mephitidae,Skunk Family,1898
Caltech Camera Traps,lizard,710c4066-bd5d-4313-bcf4-0217c4c84da7,squamata,Serpentes Suborder,309
Caltech Camera Traps,rodent,90d950db-2106-4bd9-a4c1-777604c3eada,rodentia,Rodent,4279
Caltech Camera Traps,badger,e70effd7-855e-4ba3-966c-a4fbb74eab13,taxidea taxus,American Badger,50
Caltech Camera Traps,deer,b52529fa-320f-41e8-97ec-fa41ce26c86a,odocoileus,Odocoileus Species,12196
Caltech Camera Traps,cow,aca65aaa-8c6d-4b69-94de-842b08b13bd6,bos taurus,Domestic Cattle,3626
Caltech Camera Traps,car,e2895ed5-780b-48f6-8a11-9e27cb594511,vehicle,Vehicle,4717
Caltech Camera Traps,fox,ffe603fc-4920-4302-96d0-65f708bd5b2d,urocyon cinereoargenteus,Grey Fox,2574
Caltech Camera Traps,pig,d372cda5-a8ca-4b7b-97ed-4e4fab9c9b4b,sus scrofa,Wild Boar,2
Caltech Camera Traps,mountain_lion,9c564562-9429-405c-8529-04cff7752282,puma concolor,Puma,145
Caltech Camera Traps,bat,a45906ce-5938-433a-bc82-4d0e60d2ebab,chiroptera,Bat,3
Caltech Camera Traps,insect,9fb844bd-26d1-49f1-a829-0025a48d3bdb,insecta,Insect,6
ENA24,Bird,b1352069-a39c-4a84-a949-60044271c0c1,aves,Bird,225
ENA24,Eastern Gray Squirrel,86f5b978-4f30-40cc-bd08-be9e3fba27a0,sciurus carolinensis,Eastern Gray Squirrel,319
ENA24,Eastern Chipmunk,1db1c6e2-2ea9-45a6-ab69-a730133298eb,tamias striatus,Eastern Chipmunk,311
ENA24,Woodchuck,b9a7f328-3bb9-4326-9665-cc8ab5d870e1,marmota monax,Woodchuck,206
ENA24,Wild Turkey,c10547c3-1748-48bf-a451-8066c820f22f,meleagris gallopavo,Domestic Turkey,427
ENA24,White_Tailed_Deer,5c7ce479-8a45-40b3-ae21-7c97dfae22f5,odocoileus virginianus,White-tailed Deer,381
ENA24,Virginia Opossum,87be3a5c-e60a-4e7e-88c7-21544914d067,didelphis virginiana,Virginia Opossum,725
ENA24,Eastern Cottontail,667a4650-a141-4c4e-844e-58cdeaeb4ae1,sylvilagus floridanus,Eastern Cottontail,340
ENA24,Human,990ae9dd-7a59-4344-afcb-1b7b21368000,homo sapiens,Human,1161
ENA24,Vehicle,e2895ed5-780b-48f6-8a11-9e27cb594511,vehicle,Vehicle,295
ENA24,Striped Skunk,9282b7e4-f3b0-4ef3-9741-cae7f7bd346a,mephitis mephitis,Striped Skunk,297
ENA24,Red Fox,ac0e8ba7-7261-4d17-8645-11ed3d02165a,vulpes vulpes,Red Fox,413
ENA24,Eastern Fox Squirrel,e07c537d-08b8-4c31-9768-51e4adf5a5ab,sciurus niger,Bryant's Fox Squirrel,343
ENA24,Northern Raccoon,b57debc1-dff2-48d3-a400-f2b5021e71b0,procyon lotor,Northern Raccoon,292
ENA24,Grey Fox,ffe603fc-4920-4302-96d0-65f708bd5b2d,urocyon cinereoargenteus,Grey Fox,438
ENA24,Horse,5109acb4-e503-4147-a175-a3c6aa71f1e3,equus caballus,Domestic Horse,495
ENA24,Dog,3d80f1d6-b1df-4966-9ff4-94053c7a902a,canis familiaris,Domestic Dog,774
ENA24,American Crow,87fdd451-ca1e-47b1-af43-aa4517cd13bf,corvus brachyrhynchos,American Crow,1278
ENA24,Chicken,89851bea-765b-431a-bb03-6f821931ebdc,gallus gallus,Red Junglefowl,749
ENA24,Domestic Cat,9212982e-8a58-4775-a6ac-e9a43110d8f5,felis catus,Domestic Cat,491
ENA24,Coyote,aaf3b049-36e6-46dd-9a07-8a580e9618b7,canis latrans,Coyote,344
ENA24,Bobcat,ba76d46e-25de-45e2-90a8-bd279b650f7c,lynx rufus,Bobcat,333
ENA24,American Black Bear,436ddfdd-bc43-44c3-a25d-34671d3430a0,ursus americanus,American Black Bear,959
Missouri Camera Traps,agouti,4e6eb99a-baf0-4235-a7bc-1dd7b741b7c3,dasyprocta,Dasyprocta Species,927
